"日期","收市","開市","高","低","成交量","升跌（%）"
"2021-12-31","1,829.70","1,828.50","1,830.20","1,823.60","0.02K","0.79%"
"2021-12-30","1,815.30","1,815.30","1,815.30","1,815.30","113.43K","0.53%"
"2021-12-29","1,805.80","1,806.60","1,808.00","1,789.10","138.69K","-0.28%"
"2021-12-28","1,810.90","1,812.10","1,821.60","1,805.50","100.54K","0.12%"
"2021-12-27","1,808.80","1,810.20","1,814.60","1,803.60","84.23K","-0.16%"
"2021-12-23","1,811.70","1,805.60","1,812.00","1,799.00","104.84K","0.53%"
"2021-12-22","1,802.20","1,789.40","1,806.30","1,785.80","110.41K","0.75%"
"2021-12-21","1,788.70","1,791.40","1,801.70","1,785.00","134.15K","-0.33%"
"2021-12-20","1,794.60","1,800.20","1,804.60","1,789.00","105.39K","-0.57%"
"2021-12-17","1,804.90","1,801.50","1,815.70","1,796.50","156.61K","0.37%"
"2021-12-16","1,798.20","1,777.90","1,800.70","1,775.70","167.78K","1.91%"
"2021-12-15","1,764.50","1,771.90","1,781.30","1,753.00","161.10K","-0.44%"
"2021-12-14","1,772.30","1,787.60","1,789.80","1,766.10","153.25K","-0.89%"
"2021-12-13","1,788.30","1,784.20","1,792.80","1,782.20","106.06K","0.20%"
"2021-12-10","1,784.80","1,776.30","1,791.00","1,770.40","142.00K","0.46%"
"2021-12-9","1,776.70","1,784.30","1,788.40","1,773.30","123.97K","-0.49%"
"2021-12-8","1,785.50","1,785.10","1,794.30","1,780.10","109.69K","0.04%"
"2021-12-7","1,784.70","1,779.50","1,789.30","1,772.40","129.89K","0.29%"
"2021-12-6","1,779.50","1,787.70","1,789.00","1,776.40","104.48K","-0.25%"
"2021-12-3","1,783.90","1,769.40","1,788.00","1,766.00","175.18K","1.20%"
"2021-12-2","1,762.70","1,783.80","1,785.20","1,762.20","172.72K","-1.21%"
"2021-12-1","1,784.30","1,777.40","1,795.70","1,773.70","180.34K","0.44%"
"2021-11-30","1,776.50","1,786.90","1,811.40","1,771.20","242.86K","-0.49%"
"2021-11-29","1,785.20","1,795.20","1,801.50","1,782.00","151.37K","-0.10%"
"2021-11-26","1,786.90","1,788.40","1,817.70","1,780.50","2.97K","-0.07%"
"2021-11-25","1,788.10","1,792.30","1,819.30","1,781.60","180.64K","0.14%"
"2021-11-24","1,785.60","1,793.40","1,797.00","1,779.20","0.97K","0.03%"
"2021-11-23","1,785.10","1,810.40","1,813.10","1,783.10","1.86K","-1.25%"
"2021-11-22","1,807.70","1,843.00","1,851.10","1,804.00","1.18K","-2.44%"
"2021-11-19","1,852.90","1,864.20","1,869.00","1,846.00","0.54K","-0.53%"
"2021-11-18","1,862.70","1,869.80","1,874.50","1,858.30","0.49K","-0.47%"
"2021-11-17","1,871.50","1,852.70","1,871.10","1,852.70","0.24K","0.87%"
"2021-11-16","1,855.40","1,867.00","1,880.10","1,852.40","0.65K","-0.67%"
"2021-11-15","1,868.00","1,870.10","1,873.10","1,860.00","0.24K","-0.09%"
"2021-11-12","1,869.70","1,865.90","1,872.20","1,849.80","0.24K","0.24%"
"2021-11-11","1,865.20","1,855.50","1,868.90","1,847.00","0.19K","0.85%"
"2021-11-10","1,849.50","1,827.80","1,869.80","1,827.80","0.23K","0.96%"
"2021-11-9","1,832.00","1,828.30","1,835.10","1,822.70","0.14K","0.15%"
"2021-11-8","1,829.20","1,818.50","1,829.20","1,815.50","0.12K","0.62%"
"2021-11-5","1,818.00","1,792.90","1,820.70","1,788.20","0.10K","1.30%"
"2021-11-4","1,794.70","1,773.00","1,800.70","1,773.00","0.03K","1.68%"
"2021-11-3","1,765.10","1,777.00","1,777.30","1,762.30","0.13K","-1.42%"
