"日期","收市","開市","高","低","成交量","升跌（%）"
"2013-11-7","1,747.15","1,770.74","1,774.54","1,746.20","","-1.32%"
"2013-11-6","1,770.49","1,765.00","1,773.74","1,764.40","","0.43%"
"2013-11-5","1,762.97","1,765.67","1,767.03","1,755.76","","-0.28%"
"2013-11-4","1,767.93","1,763.40","1,768.78","1,761.56","","0.36%"
"2013-11-1","1,761.64","1,758.70","1,765.67","1,752.70","","0.29%"
"2013-10-31","1,756.54","1,763.24","1,768.53","1,755.72","","-0.38%"
"2013-10-30","1,763.31","1,772.27","1,775.22","1,757.24","","-0.49%"
"2013-10-29","1,771.95","1,762.93","1,772.09","1,762.93","","0.56%"
"2013-10-28","1,762.11","1,759.42","1,764.99","1,757.67","","0.13%"
"2013-10-25","1,759.77","1,756.01","1,759.82","1,752.45","","0.44%"
"2013-10-24","1,752.07","1,747.48","1,753.94","1,745.50","","0.33%"
"2013-10-23","1,746.38","1,752.27","1,752.27","1,740.50","","-0.47%"
"2013-10-22","1,754.67","1,746.48","1,759.33","1,746.48","","0.57%"
"2013-10-21","1,744.66","1,745.20","1,747.79","1,740.67","","0.01%"
"2013-10-18","1,744.50","1,736.72","1,745.31","1,735.74","","0.65%"
"2013-10-17","1,733.15","1,720.17","1,733.45","1,714.12","","0.67%"
"2013-10-16","1,721.54","1,700.49","1,721.76","1,700.49","","1.38%"
"2013-10-15","1,698.06","1,709.17","1,711.57","1,695.93","","-0.71%"
"2013-10-14","1,710.14","1,699.86","1,711.03","1,692.13","","0.41%"
"2013-10-11","1,703.20","1,691.09","1,703.44","1,688.52","","0.63%"
"2013-10-10","1,692.56","1,660.88","1,692.56","1,660.88","","2.18%"
"2013-10-9","1,656.40","1,656.99","1,662.47","1,646.47","","0.06%"
"2013-10-8","1,655.45","1,676.22","1,676.79","1,655.03","","-1.23%"
"2013-10-7","1,676.12","1,687.15","1,687.15","1,674.70","","-0.85%"
"2013-10-4","1,690.50","1,678.79","1,691.94","1,677.33","","0.71%"
"2013-10-3","1,678.66","1,692.35","1,692.35","1,670.36","","-0.90%"
"2013-10-2","1,693.87","1,691.90","1,693.87","1,680.34","","-0.07%"
"2013-10-1","1,695.00","1,682.41","1,696.55","1,682.07","","0.80%"
"2013-9-30","1,681.55","1,687.26","1,687.26","1,674.99","","-0.60%"
"2013-9-27","1,691.75","1,695.52","1,695.52","1,687.11","","-0.41%"
"2013-9-26","1,698.67","1,694.05","1,703.85","1,693.11","","0.35%"
"2013-9-25","1,692.77","1,698.02","1,701.71","1,691.88","","-0.27%"
"2013-9-24","1,697.42","1,702.60","1,707.63","1,694.90","","-0.26%"
"2013-9-23","1,701.84","1,711.44","1,711.44","1,697.10","","-0.47%"
"2013-9-20","1,709.91","1,722.44","1,725.23","1,708.89","","-0.72%"
"2013-9-19","1,722.34","1,727.34","1,729.86","1,720.20","","-0.18%"
"2013-9-18","1,725.52","1,705.74","1,729.44","1,700.35","","1.22%"
"2013-9-17","1,704.76","1,697.73","1,705.52","1,697.73","","0.42%"
"2013-9-16","1,697.60","1,691.70","1,704.95","1,691.70","","0.57%"
"2013-9-13","1,687.99","1,685.04","1,688.73","1,682.22","","0.27%"
"2013-9-12","1,683.42","1,689.21","1,689.97","1,681.96","","-0.34%"
"2013-9-11","1,689.13","1,681.04","1,689.13","1,678.70","","0.31%"
"2013-9-10","1,683.99","1,674.32","1,684.09","1,674.32","","0.73%"
"2013-9-9","1,671.71","1,656.85","1,672.40","1,656.85","","1.00%"
"2013-9-6","1,655.17","1,657.44","1,664.83","1,640.62","","0.01%"
"2013-9-5","1,655.08","1,653.28","1,659.17","1,653.07","","0.12%"
"2013-9-4","1,653.08","1,640.72","1,655.72","1,637.41","","0.81%"
"2013-9-3","1,639.77","1,635.95","1,651.35","1,633.41","","0.42%"
"2013-8-30","1,632.97","1,638.89","1,640.08","1,628.05","","-0.32%"
"2013-8-29","1,638.17","1,633.50","1,646.41","1,630.88","","0.20%"
"2013-8-28","1,634.96","1,630.25","1,641.18","1,627.47","","0.27%"
"2013-8-27","1,630.48","1,652.54","1,652.54","1,629.05","","-1.59%"
"2013-8-26","1,656.78","1,664.29","1,669.51","1,656.02","","-0.40%"
"2013-8-23","1,663.50","1,659.92","1,664.85","1,654.81","","0.39%"
