"日期","收市","開市","高","低","成交量","升跌（%）"
"2013年8月15日","81.207","81.675","81.995","81.115","38.71K","-0.67%"
"2013年8月14日","81.758","81.795","81.905","81.660","20.07K","-0.07%"
"2013年8月13日","81.815","81.515","81.925","81.435","26.37K","0.54%"
"2013年8月12日","81.374","81.195","81.550","81.110","21.12K","0.25%"
"2013年8月9日","81.170","81.100","81.225","80.970","18.62K","0.18%"
"2013年8月8日","81.027","81.325","81.395","80.895","36.43K","-0.36%"
"2013年8月7日","81.323","81.625","81.880","81.270","39.51K","-0.41%"
"2013年8月6日","81.658","81.930","82.015","81.560","28.73K","-0.34%"
"2013年8月5日","81.936","82.010","82.160","81.810","24.48K","-0.05%"
"2013年8月2日","81.978","82.430","82.610","81.900","43.03K","-0.54%"
"2013年8月1日","82.427","81.760","82.495","81.690","44.85K","1.09%"
"2013年7月31日","81.539","81.930","82.295","81.480","62.80K","-0.46%"
"2013年7月30日","81.919","81.805","82.090","81.690","34.46K","0.19%"
"2013年7月29日","81.763","81.775","81.935","81.610","27.24K","-0.00%"
"2013年7月26日","81.764","81.880","81.920","81.640","25.30K","-0.35%"
"2013年7月25日","82.053","82.450","82.500","81.710","26.39K","-0.42%"
"2013年7月24日","82.400","82.120","82.515","82.020","34.34K","0.44%"
"2013年7月23日","82.040","82.270","82.470","82.010","25.19K","-0.34%"
"2013年7月22日","82.317","82.700","82.740","82.130","31.66K","-0.48%"
"2013年7月19日","82.711","82.910","83.060","82.620","21.30K","-0.29%"
"2013年7月18日","82.955","82.820","83.160","82.760","25.50K","0.14%"
"2013年7月17日","82.840","82.685","83.055","82.475","52.42K","0.25%"
"2013年7月16日","82.637","83.245","83.270","82.525","32.23K","-0.67%"
"2013年7月15日","83.196","83.115","83.620","83.035","27.75K","0.04%"
"2013年7月12日","83.163","82.930","83.400","82.885","32.22K","0.30%"
"2013年7月11日","82.915","82.870","83.425","82.600","52.53K","-1.57%"
"2013年7月10日","84.234","84.875","84.925","83.640","51.06K","-0.65%"
"2013年7月9日","84.781","84.485","84.965","84.310","41.45K","0.43%"
"2013年7月8日","84.414","84.830","84.835","84.355","31.40K","-0.32%"
"2013年7月5日","84.689","84.125","84.930","84.065","50.50K","1.48%"
"2013年7月4日","83.451","83.360","84.155","83.335","14.54K","0.00%"
"2013年7月3日","83.451","83.790","83.935","83.275","33.94K","-0.37%"
"2013年7月2日","83.764","83.205","83.835","83.170","31.75K","0.61%"
"2013年7月1日","83.253","83.410","83.470","83.175","25.01K","-0.15%"
"2013年6月28日","83.376","83.235","83.595","82.975","35.53K","0.27%"
"2013年6月27日","83.152","83.130","83.430","83.015","30.55K","-0.09%"
"2013年6月26日","83.228","82.920","83.275","82.735","29.40K","0.52%"
"2013年6月25日","82.800","82.580","82.950","82.440","38.00K","0.20%"
"2013年6月24日","82.633","82.710","83.050","82.525","42.42K","0.14%"
"2013年6月21日","82.517","81.910","82.745","81.765","53.83K","0.51%"
"2013年6月20日","82.096","81.555","82.320","81.440","58.00K","0.61%"
"2013年6月19日","81.595","80.860","81.665","80.615","47.80K","1.05%"
"2013年6月18日","80.749","80.810","81.155","80.710","43.94K","0.02%"
"2013年6月17日","80.733","80.640","80.805","80.630","0.79K","0.10%"
"2013年6月14日","80.650","80.755","81.000","80.595","14.58K","-0.11%"
"2013年6月13日","80.742","80.865","80.980","80.505","28.56K","-0.25%"
"2013年6月12日","80.946","81.100","81.310","80.745","66.88K","-0.20%"
"2013年6月11日","81.110","81.720","81.750","81.025","59.58K","-0.66%"
"2013年6月10日","81.651","81.800","82.090","81.590","54.89K","-0.01%"
"2013年6月7日","81.660","81.585","81.855","81.080","74.33K","0.15%"
"2013年6月6日","81.537","82.605","82.690","81.065","106.68K","-1.30%"
"2013年6月5日","82.612","82.855","82.910","82.505","42.71K","-0.23%"
"2013年6月4日","82.802","82.730","83.000","82.630","25.27K","0.14%"
"2013年6月3日","82.688","83.355","83.415","82.455","50.02K","-0.85%"
"2013年5月31日","83.401","83.100","83.650","83.050","40.09K","0.40%"
"2013年5月30日","83.067","83.605","83.765","83.010","50.61K","-0.76%"
"2013年5月29日","83.705","84.385","84.430","83.540","47.18K","-0.55%"
"2013年5月28日","84.172","83.725","84.365","83.705","39.15K","0.49%"
